instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,winter,2011,1,0,saturday,0,cloudy,8.2,8.0,80.6,10.7,331,654,985
2,2011-01-02,winter,2011,1,0,sunday,0,cloudy,9.1,7.3,69.6,16.7,131,670,801
3,2011-01-03,winter,2011,1,0,monday,1,clear,1.2,-3.5,43.7,16.6,120,1229,1349
4,2011-01-04,winter,2011,1,0,tuesday,1,clear,1.4,-2.0,59.0,10.7,108,1454,1562
5,2011-01-05,winter,2011,1,0,wednesday,1,clear,2.7,-0.9,43.7,12.5,82,1518,1600
6,2011-01-06,winter,2011,1,0,thursday,1,clear,1.6,-0.6,51.8,6.0,88,1518,1606
7,2011-01-07,winter,2011,1,0,friday,1,cloudy,1.2,-2.2,49.9,11.3,148,1362,1510
8,2011-01-08,winter,2011,1,0,saturday,0,cloudy,-0.2,-5.3,53.6,17.9,68,891,959
9,2011-01-09,winter,2011,1,0,sunday,0,clear,-1.5,-8.3,43.4,24.3,54,768,822
10,2011-01-10,winter,2011,1,0,monday,1,clear,-0.9,-6.0,48.3,15.0,41,1280,1321
11,2011-01-11,winter,2011,1,0,tuesday,1,cloudy,-0.1,-3.4,68.6,8.2,43,1220,1263
12,2011-01-12,winter,2011,1,0,wednesday,1,clear,0.1,-5.4,60.0,20.4,25,1137,1162
13,2011-01-13,winter,2011,1,0,thursday,1,clear,-0.2,-6.0,47.0,20.2,38,1368,1406
14,2011-01-14,winter,2011,1,0,friday,1,clear,-0.4,-3.6,53.8,8.5,54,1367,1421
15,2011-01-15,winter,2011,1,0,saturday,0,cloudy,3.0,0.4,49.9,10.6,222,1026,1248
16,2011-01-16,winter,2011,1,0,sunday,0,clear,2.9,-0.5,48.4,12.6,251,953,1204
17,2011-01-17,winter,2011,1,1,monday,0,cloudy,0.3,-4.3,53.8,13.0,117,883,1000
18,2011-01-18,winter,2011,1,0,tuesday,1,cloudy,2.2,-0.7,86.2,9.8,9,674,683
19,2011-01-19,winter,2011,1,0,wednesday,1,cloudy,5.7,3.7,74.2,14.0,78,1572,1650
20,2011-01-20,winter,2011,1,0,thursday,1,cloudy,4.3,0.8,53.8,13.1,83,1844,1927
21,2011-01-21,winter,2011,1,0,friday,1,clear,0.3,-5.6,45.7,23.7,75,1468,1543
22,2011-01-22,winter,2011,1,0,saturday,0,clear,-5.2,-10.8,40.0,11.5,93,888,981
23,2011-01-23,winter,2011,1,0,sunday,0,clear,-3.5,-9.5,43.7,16.5,150,836,986
24,2011-01-24,winter,2011,1,0,monday,1,clear,-3.4,-8.2,49.2,10.6,86,1330,1416
25,2011-01-25,winter,2011,1,0,tuesday,1,cloudy,2.5,-0.5,61.7,8.7,186,1799,1985
26,2011-01-26,winter,2011,1,0,wednesday,1,light-rs,2.2,-2.6,86.2,19.7,34,472,506
27,2011-01-27,winter,2011,1,0,thursday,1,clear,1.2,-1.5,68.8,7.6,15,416,431
28,2011-01-28,winter,2011,1,0,friday,1,cloudy,1.6,-1.3,79.3,8.3,38,1129,1167
29,2011-01-29,winter,2011,1,0,saturday,0,clear,1.2,-2.0,65.2,9.7,123,975,1098
30,2011-01-30,winter,2011,1,0,sunday,0,clear,2.2,0.5,72.2,5.0,140,956,1096
31,2011-01-31,winter,2011,1,0,monday,1,cloudy,0.5,-3.7,60.4,12.5,42,1459,1501
32,2011-02-01,winter,2011,2,0,tuesday,1,cloudy,1.0,-0.5,83.0,3.6,47,1313,1360
33,2011-02-02,winter,2011,2,0,wednesday,1,cloudy,4.2,0.8,77.5,17.7,72,1454,1526
34,2011-02-03,winter,2011,2,0,thursday,1,clear,0.8,-4.3,43.8,18.6,61,1489,1550
35,2011-02-04,winter,2011,2,0,friday,1,cloudy,1.9,-0.9,58.5,8.6,88,1620,1708
36,2011-02-05,winter,2011,2,0,saturday,0,cloudy,3.0,0.0,92.9,10.8,100,905,1005
37,2011-02-06,winter,2011,2,0,sunday,0,clear,5.4,3.3,56.8,9.5,354,1269,1623
38,2011-02-07,winter,2011,2,0,monday,1,clear,4.8,4.0,73.8,3.0,120,1592,1712
39,2011-02-08,winter,2011,2,0,tuesday,1,clear,2.4,-2.9,53.8,24.3,64,1466,1530
40,2011-02-09,winter,2011,2,0,wednesday,1,cloudy,-1.7,-6.5,49.5,12.7,53,1552,1605
41,2011-02-10,winter,2011,2,0,thursday,1,clear,-1.2,-6.1,43.7,14.9,47,1491,1538
42,2011-02-11,winter,2011,2,0,friday,1,clear,0.9,-1.9,50.6,7.3,149,1597,1746
43,2011-02-12,winter,2011,2,0,saturday,0,clear,2.5,-0.6,54.4,13.6,288,1184,1472
44,2011-02-13,winter,2011,2,0,sunday,0,clear,6.9,5.4,45.7,17.5,397,1192,1589
45,2011-02-14,winter,2011,2,0,monday,1,clear,11.5,10.3,37.6,28.0,208,1705,1913
46,2011-02-15,winter,2011,2,0,tuesday,1,clear,4.5,0.8,31.4,19.5,140,1675,1815
47,2011-02-16,winter,2011,2,0,wednesday,1,clear,7.0,4.9,42.3,16.9,218,1897,2115
48,2011-02-17,winter,2011,2,0,thursday,1,clear,12.5,12.3,50.5,15.4,259,2216,2475
49,2011-02-18,winter,2011,2,0,friday,1,clear,16.5,17.8,51.7,17.7,579,2348,2927
50,2011-02-19,winter,2011,2,0,saturday,0,clear,10.8,9.8,18.8,34.0,532,1103,1635
51,2011-02-20,winter,2011,2,0,sunday,0,clear,5.4,2.3,40.8,15.0,639,1173,1812
52,2011-02-21,winter,2011,2,1,monday,0,cloudy,6.3,2.7,60.5,20.6,195,912,1107
53,2011-02-22,winter,2011,2,0,tuesday,1,clear,0.6,-3.7,57.8,13.1,74,1376,1450
54,2011-02-23,winter,2011,2,0,wednesday,1,clear,2.4,0.2,42.3,6.3,139,1778,1917
55,2011-02-24,winter,2011,2,0,thursday,1,cloudy,5.9,3.1,69.7,16.8,100,1707,1807
56,2011-02-25,winter,2011,2,0,friday,1,cloudy,9.1,7.1,71.2,23.2,120,1341,1461
57,2011-02-26,winter,2011,2,0,saturday,0,clear,5.3,2.6,53.8,12.5,424,1545,1969
58,2011-02-27,winter,2011,2,0,sunday,0,clear,8.1,7.2,68.0,8.4,694,1708,2402
59,2011-02-28,winter,2011,2,0,monday,1,cloudy,11.1,10.4,87.6,19.4,81,1365,1446
60,2011-03-01,winter,2011,3,0,tuesday,1,clear,4.5,1.4,53.5,14.5,137,1714,1851
61,2011-03-02,winter,2011,3,0,wednesday,1,clear,7.7,5.1,45.0,20.6,231,1903,2134
62,2011-03-03,winter,2011,3,0,thursday,1,clear,1.3,-2.8,31.8,15.1,123,1562,1685
63,2011-03-04,winter,2011,3,0,friday,1,cloudy,4.3,0.9,61.0,13.6,214,1730,1944
64,2011-03-05,winter,2011,3,0,saturday,0,cloudy,10.1,9.0,78.9,16.9,640,1437,2077
65,2011-03-06,winter,2011,3,0,sunday,0,cloudy,9.7,8.2,94.8,23.0,114,491,605
66,2011-03-07,winter,2011,3,0,monday,1,clear,4.3,-0.3,55.1,22.9,244,1628,1872
67,2011-03-08,winter,2011,3,0,tuesday,1,clear,5.7,4.0,42.1,8.1,316,1817,2133
68,2011-03-09,winter,2011,3,0,wednesday,1,cloudy,5.9,2.9,77.5,14.8,191,1700,1891
69,2011-03-10,winter,2011,3,0,thursday,1,light-rs,10.3,9.5,0.0,17.5,46,577,623
70,2011-03-11,winter,2011,3,0,friday,1,cloudy,6.9,4.1,65.0,15.6,247,1730,1977
71,2011-03-12,winter,2011,3,0,saturday,0,clear,7.5,5.5,59.5,14.8,724,1408,2132
72,2011-03-13,winter,2011,3,0,sunday,0,clear,10.1,9.1,52.7,18.1,982,1435,2417
73,2011-03-14,winter,2011,3,0,monday,1,clear,7.3,5.9,49.7,9.2,359,1687,2046
74,2011-03-15,winter,2011,3,0,tuesday,1,cloudy,6.9,5.0,65.6,12.3,289,1767,2056
75,2011-03-16,winter,2011,3,0,wednesday,1,cloudy,9.2,8.2,77.7,13.6,321,1871,2192
76,2011-03-17,winter,2011,3,0,thursday,1,clear,11.5,11.1,60.3,14.0,424,2320,2744
77,2011-03-18,winter,2011,3,0,friday,1,clear,17.4,18.8,52.5,15.5,884,2355,3239
78,2011-03-19,winter,2011,3,0,saturday,0,clear,14.2,14.8,37.9,24.7,1424,1693,3117
79,2011-03-20,winter,2011,3,0,sunday,0,clear,7.6,5.5,47.4,13.9,1047,1424,2471
80,2011-03-21,spring,2011,3,0,monday,1,cloudy,12.2,11.0,73.7,19.3,401,1676,2077
81,2011-03-22,spring,2011,3,0,tuesday,1,clear,12.8,13.1,62.5,15.1,460,2243,2703
82,2011-03-23,spring,2011,3,0,wednesday,1,cloudy,8.3,6.3,84.0,15.7,203,1918,2121
83,2011-03-24,spring,2011,3,0,thursday,1,cloudy,5.4,1.9,80.6,16.3,166,1699,1865
84,2011-03-25,spring,2011,3,0,friday,1,clear,4.4,0.9,49.5,15.5,300,1910,2210
85,2011-03-26,spring,2011,3,0,saturday,0,clear,4.5,1.0,39.4,14.0,981,1515,2496
86,2011-03-27,spring,2011,3,0,sunday,0,cloudy,3.9,0.5,49.4,12.3,472,1221,1693
87,2011-03-28,spring,2011,3,0,monday,1,clear,4.4,1.0,30.2,14.2,222,1806,2028
88,2011-03-29,spring,2011,3,0,tuesday,1,clear,6.2,3.3,31.4,15.2,317,2108,2425
89,2011-03-30,spring,2011,3,0,wednesday,1,cloudy,6.1,3.6,64.7,11.6,168,1368,1536
90,2011-03-31,spring,2011,3,0,thursday,1,light-rs,4.6,1.0,91.8,14.6,179,1506,1685
91,2011-04-01,spring,2011,4,0,friday,1,cloudy,6.1,2.7,68.6,17.3,307,1920,2227
92,2011-04-02,spring,2011,4,0,saturday,0,cloudy,6.8,4.8,65.4,13.2,898,1354,2252
93,2011-04-03,spring,2011,4,0,sunday,0,clear,9.8,9.0,48.0,12.2,1651,1598,3249
94,2011-04-04,spring,2011,4,0,monday,1,clear,18.9,19.8,42.6,25.8,734,2381,3115
95,2011-04-05,spring,2011,4,0,tuesday,1,cloudy,11.5,10.3,64.2,26.0,167,1628,1795
96,2011-04-06,spring,2011,4,0,wednesday,1,clear,10.4,9.6,47.1,17.6,413,2395,2808
97,2011-04-07,spring,2011,4,0,thursday,1,clear,12.6,12.6,60.3,10.9,571,2570,3141
98,2011-04-08,spring,2011,4,0,friday,1,cloudy,7.8,5.4,83.6,15.2,172,1299,1471
99,2011-04-09,spring,2011,4,0,saturday,0,cloudy,8.1,6.5,87.8,8.9,879,1576,2455
100,2011-04-10,spring,2011,4,0,sunday,0,cloudy,12.1,12.2,85.8,9.8,1188,1707,2895
101,2011-04-11,spring,2011,4,0,monday,1,cloudy,20.0,21.3,71.7,21.7,855,2493,3348
102,2011-04-12,spring,2011,4,0,tuesday,1,cloudy,15.6,16.5,73.9,18.4,257,1777,2034
103,2011-04-13,spring,2011,4,0,wednesday,1,cloudy,11.4,11.5,81.9,16.8,209,1953,2162
104,2011-04-14,spring,2011,4,0,thursday,1,clear,14.0,14.5,54.0,7.4,529,2738,3267
105,2011-04-15,spring,2011,4,1,friday,0,clear,13.0,13.2,67.1,15.2,642,2484,3126
106,2011-04-16,spring,2011,4,0,saturday,0,light-rs,12.2,12.1,88.8,22.8,121,674,795
107,2011-04-17,spring,2011,4,0,sunday,0,clear,13.5,13.4,48.0,20.3,1558,2186,3744
108,2011-04-18,spring,2011,4,0,monday,1,clear,16.1,17.2,54.2,11.0,669,2760,3429
109,2011-04-19,spring,2011,4,0,tuesday,1,cloudy,15.8,16.3,66.6,10.6,409,2795,3204
110,2011-04-20,spring,2011,4,0,wednesday,1,clear,20.0,21.2,61.4,16.2,613,3331,3944
111,2011-04-21,spring,2011,4,0,thursday,1,clear,13.6,14.0,40.7,21.8,745,3444,4189
112,2011-04-22,spring,2011,4,0,friday,1,cloudy,7.8,5.2,73.0,14.7,177,1506,1683
113,2011-04-23,spring,2011,4,0,saturday,0,cloudy,13.6,13.7,88.8,15.5,1462,2574,4036
114,2011-04-24,spring,2011,4,0,sunday,0,cloudy,19.3,20.4,81.1,12.9,1710,2481,4191
115,2011-04-25,spring,2011,4,0,monday,1,clear,20.5,21.9,77.7,12.4,773,3300,4073
116,2011-04-26,spring,2011,4,0,tuesday,1,clear,21.7,23.2,72.9,21.9,678,3722,4400
117,2011-04-27,spring,2011,4,0,wednesday,1,cloudy,21.1,22.0,83.5,20.9,547,3325,3872
118,2011-04-28,spring,2011,4,0,thursday,1,cloudy,21.0,22.2,70.1,21.5,569,3489,4058
119,2011-04-29,spring,2011,4,0,friday,1,clear,16.0,16.8,45.7,16.1,878,3717,4595
120,2011-04-30,spring,2011,4,0,saturday,0,clear,14.2,14.6,50.3,15.8,1965,3347,5312
121,2011-05-01,spring,2011,5,0,sunday,0,cloudy,13.2,13.6,76.2,7.1,1138,2213,3351
122,2011-05-02,spring,2011,5,0,monday,1,cloudy,17.8,19.2,73.0,12.3,847,3554,4401
123,2011-05-03,spring,2011,5,0,tuesday,1,cloudy,21.0,22.4,69.7,23.0,603,3848,4451
124,2011-05-04,spring,2011,5,0,wednesday,1,cloudy,11.5,10.7,73.7,22.0,255,2378,2633
125,2011-05-05,spring,2011,5,0,thursday,1,clear,13.6,13.2,44.4,19.8,614,3819,4433
126,2011-05-06,spring,2011,5,0,friday,1,clear,14.5,15.3,59.0,15.3,894,3714,4608
127,2011-05-07,spring,2011,5,0,saturday,0,clear,16.4,17.8,54.1,10.8,1612,3102,4714
128,2011-05-08,spring,2011,5,0,sunday,0,clear,16.8,18.2,63.2,5.0,1401,2932,4333
129,2011-05-09,spring,2011,5,0,monday,1,clear,17.0,18.7,58.9,11.8,664,3698,4362
130,2011-05-10,spring,2011,5,0,tuesday,1,clear,17.0,18.5,48.9,7.7,694,4109,4803
131,2011-05-11,spring,2011,5,0,wednesday,1,clear,17.5,18.9,63.3,8.1,550,3632,4182
132,2011-05-12,spring,2011,5,0,thursday,1,clear,17.1,18.5,74.8,12.7,695,4169,4864
133,2011-05-13,spring,2011,5,0,friday,1,cloudy,16.1,16.6,86.3,12.0,692,3413,4105
134,2011-05-14,spring,2011,5,0,saturday,0,cloudy,16.5,17.0,92.2,9.0,902,2507,3409
135,2011-05-15,spring,2011,5,0,sunday,0,cloudy,18.4,19.4,86.7,10.2,1582,2971,4553
136,2011-05-16,spring,2011,5,0,monday,1,clear,19.1,20.3,78.8,8.5,773,3185,3958
137,2011-05-17,spring,2011,5,0,tuesday,1,cloudy,18.4,19.5,83.8,18.6,678,3445,4123
138,2011-05-18,spring,2011,5,0,wednesday,1,cloudy,17.8,18.8,87.0,13.5,536,3319,3855
139,2011-05-19,spring,2011,5,0,thursday,1,cloudy,16.9,17.7,83.0,7.3,735,3840,4575
140,2011-05-20,spring,2011,5,0,friday,1,clear,17.2,18.9,72.0,8.4,909,4008,4917
141,2011-05-21,spring,2011,5,0,saturday,0,clear,20.3,21.8,62.7,8.1,2258,3547,5805
142,2011-05-22,spring,2011,5,0,sunday,0,clear,20.4,21.9,75.0,9.9,1576,3084,4660
143,2011-05-23,spring,2011,5,0,monday,1,cloudy,21.7,23.0,81.0,15.7,836,3438,4274
144,2011-05-24,spring,2011,5,0,tuesday,1,cloudy,23.0,23.9,74.1,13.9,659,3833,4492
145,2011-05-25,spring,2011,5,0,wednesday,1,clear,23.1,24.6,69.6,10.3,740,4238,4978
146,2011-05-26,spring,2011,5,0,thursday,1,clear,25.3,27.2,67.8,13.4,758,3919,4677
147,2011-05-27,spring,2011,5,0,friday,1,clear,24.0,26.0,65.4,16.1,871,3808,4679
148,2011-05-28,spring,2011,5,0,saturday,0,clear,22.8,24.4,73.0,15.4,2001,2757,4758
149,2011-05-29,spring,2011,5,0,sunday,0,clear,23.4,24.6,81.9,14.3,2355,2433,4788
150,2011-05-30,spring,2011,5,1,monday,0,clear,26.5,28.3,68.5,8.8,1549,2549,4098
151,2011-05-31,spring,2011,5,0,tuesday,1,clear,28.4,31.9,63.7,7.5,673,3309,3982
152,2011-06-01,spring,2011,6,0,wednesday,1,cloudy,27.9,31.6,67.7,13.9,513,3461,3974
153,2011-06-02,spring,2011,6,0,thursday,1,clear,25.6,26.5,30.5,19.6,736,4232,4968
154,2011-06-03,spring,2011,6,0,friday,1,clear,21.1,22.8,35.4,17.0,898,4414,5312
155,2011-06-04,spring,2011,6,0,saturday,0,clear,21.8,23.2,45.6,8.3,1869,3473,5342
156,2011-06-05,spring,2011,6,0,sunday,0,cloudy,22.5,24.7,65.2,9.3,1685,3221,4906
157,2011-06-06,spring,2011,6,0,monday,1,clear,23.9,25.0,60.0,8.2,673,3875,4548
158,2011-06-07,spring,2011,6,0,tuesday,1,clear,25.3,27.3,59.8,12.6,763,4070,4833
159,2011-06-08,spring,2011,6,0,wednesday,1,clear,28.5,32.0,62.2,9.2,676,3725,4401
160,2011-06-09,spring,2011,6,0,thursday,1,cloudy,30.0,34.0,56.8,10.0,563,3352,3915
161,2011-06-10,spring,2011,6,0,friday,1,clear,27.5,30.4,60.5,9.4,815,3771,4586
162,2011-06-11,spring,2011,6,0,saturday,0,clear,26.1,28.8,65.5,10.4,1729,3237,4966
163,2011-06-12,spring,2011,6,0,sunday,0,clear,24.5,26.5,74.8,11.0,1467,2993,4460
164,2011-06-13,spring,2011,6,0,monday,1,clear,21.8,23.7,49.5,20.5,863,4157,5020
165,2011-06-14,spring,2011,6,0,tuesday,1,clear,20.4,23.0,50.7,18.0,727,4164,4891
166,2011-06-15,spring,2011,6,0,wednesday,1,clear,21.5,22.8,47.2,11.3,769,4411,5180
167,2011-06-16,spring,2011,6,0,thursday,1,cloudy,21.5,23.3,68.8,13.8,545,3222,3767
168,2011-06-17,spring,2011,6,0,friday,1,clear,22.5,23.6,73.6,9.6,863,3981,4844
169,2011-06-18,spring,2011,6,0,saturday,0,clear,24.7,26.5,67.0,8.0,1807,3312,5119
170,2011-06-19,spring,2011,6,0,sunday,0,cloudy,24.9,26.6,66.7,6.8,1639,3105,4744
171,2011-06-20,spring,2011,6,0,monday,1,cloudy,21.8,23.3,74.6,10.4,699,3311,4010
172,2011-06-21,summer,2011,6,0,tuesday,1,cloudy,24.0,26.1,77.0,11.5,774,4061,4835
173,2011-06-22,summer,2011,6,0,wednesday,1,clear,26.5,29.8,70.8,11.5,661,3846,4507
174,2011-06-23,summer,2011,6,0,thursday,1,cloudy,26.2,29.8,70.3,16.0,746,4044,4790
175,2011-06-24,summer,2011,6,0,friday,1,clear,26.0,27.3,57.3,14.9,969,4022,4991
176,2011-06-25,summer,2011,6,0,saturday,0,clear,24.7,26.5,48.3,14.0,1782,3420,5202
177,2011-06-26,summer,2011,6,0,sunday,0,clear,24.0,26.1,51.3,6.3,1920,3385,5305
178,2011-06-27,summer,2011,6,0,monday,1,cloudy,24.1,26.0,65.8,7.2,854,3854,4708
179,2011-06-28,summer,2011,6,0,tuesday,1,clear,27.0,29.7,63.4,9.7,732,3916,4648
180,2011-06-29,summer,2011,6,0,wednesday,1,clear,26.2,27.2,49.8,17.5,848,4377,5225
181,2011-06-30,summer,2011,6,0,thursday,1,clear,24.7,26.0,43.4,12.4,1027,4488,5515
182,2011-07-01,summer,2011,7,0,friday,1,clear,26.0,27.0,39.6,6.9,1246,4116,5362
183,2011-07-02,summer,2011,7,0,saturday,0,clear,26.7,28.0,44.5,7.7,2204,2915,5119
184,2011-07-03,summer,2011,7,0,sunday,0,cloudy,25.7,28.1,68.2,15.3,2282,2367,4649
185,2011-07-04,summer,2011,7,1,monday,0,cloudy,26.2,27.9,63.8,5.5,3065,2978,6043
186,2011-07-05,summer,2011,7,0,tuesday,1,clear,27.1,30.0,59.0,8.5,1031,3634,4665
187,2011-07-06,summer,2011,7,0,wednesday,1,clear,25.8,29.3,74.3,10.0,784,3845,4629
188,2011-07-07,summer,2011,7,0,thursday,1,clear,27.2,29.3,65.1,10.7,754,3838,4592
189,2011-07-08,summer,2011,7,0,friday,1,cloudy,25.3,28.3,75.8,15.1,692,3348,4040
190,2011-07-09,summer,2011,7,0,saturday,0,clear,26.5,27.8,60.9,11.3,1988,3348,5336
191,2011-07-10,summer,2011,7,0,sunday,0,clear,27.1,29.5,57.8,12.3,1743,3138,4881
192,2011-07-11,summer,2011,7,0,monday,1,clear,27.8,32.2,63.6,18.9,723,3363,4086
193,2011-07-12,summer,2011,7,0,tuesday,1,clear,29.3,32.8,55.9,13.4,662,3596,4258
194,2011-07-13,summer,2011,7,0,wednesday,1,clear,27.1,29.5,63.2,9.8,748,3594,4342
195,2011-07-14,summer,2011,7,0,thursday,1,clear,24.0,25.9,47.6,16.1,888,4196,5084
196,2011-07-15,summer,2011,7,0,friday,1,clear,23.2,25.2,59.1,12.2,1318,4220,5538
197,2011-07-16,summer,2011,7,0,saturday,0,clear,24.3,26.1,58.5,14.0,2418,3505,5923
198,2011-07-17,summer,2011,7,0,sunday,0,clear,25.8,28.2,60.4,16.4,2006,3296,5302
199,2011-07-18,summer,2011,7,0,monday,1,clear,27.1,30.5,65.1,14.5,841,3617,4458
200,2011-07-19,summer,2011,7,0,tuesday,1,clear,28.5,33.3,65.0,8.8,752,3789,4541
201,2011-07-20,summer,2011,7,0,wednesday,1,clear,28.1,33.3,70.7,7.6,644,3688,4332
202,2011-07-21,summer,2011,7,0,thursday,1,cloudy,30.3,38.5,69.1,14.9,632,3152,3784
203,2011-07-22,summer,2011,7,0,friday,1,clear,31.9,39.5,58.0,8.9,562,2825,3387
204,2011-07-23,summer,2011,7,0,saturday,0,clear,31.9,37.1,50.0,8.8,987,2298,3285
205,2011-07-24,summer,2011,7,0,sunday,0,clear,31.0,36.5,55.1,11.3,1050,2556,3606
206,2011-07-25,summer,2011,7,0,monday,1,clear,26.9,31.6,75.7,6.1,568,3272,3840
207,2011-07-26,summer,2011,7,0,tuesday,1,clear,28.3,30.0,54.1,13.4,750,3840,4590
208,2011-07-27,summer,2011,7,0,wednesday,1,clear,28.4,29.6,40.3,12.3,755,3901,4656
209,2011-07-28,summer,2011,7,0,thursday,1,clear,28.6,32.8,58.3,12.0,606,3784,4390
210,2011-07-29,summer,2011,7,0,friday,1,clear,31.4,35.9,54.2,11.7,670,3176,3846
211,2011-07-30,summer,2011,7,0,saturday,0,clear,29.8,32.1,46.6,11.3,1559,2916,4475
212,2011-07-31,summer,2011,7,0,sunday,0,clear,29.9,32.2,48.1,11.0,1524,2778,4302
213,2011-08-01,summer,2011,8,0,monday,1,clear,28.3,30.4,55.1,10.5,729,3537,4266
214,2011-08-02,summer,2011,8,0,tuesday,1,clear,28.8,30.7,49.1,13.8,801,4044,4845
215,2011-08-03,summer,2011,8,0,wednesday,1,cloudy,26.4,28.9,65.8,9.1,467,3107,3574
216,2011-08-04,summer,2011,8,0,thursday,1,cloudy,25.4,27.9,75.8,13.2,799,3777,4576
217,2011-08-05,summer,2011,8,0,friday,1,clear,25.4,27.3,63.1,12.4,1023,3843,4866
218,2011-08-06,summer,2011,8,0,saturday,0,cloudy,25.7,28.6,75.5,15.3,1521,2773,4294
219,2011-08-07,summer,2011,8,0,sunday,0,clear,26.9,31.2,75.3,13.5,1298,2487,3785
220,2011-08-08,summer,2011,8,0,monday,1,clear,28.0,30.4,59.2,12.9,846,3480,4326
221,2011-08-09,summer,2011,8,0,tuesday,1,clear,28.4,31.8,57.0,10.1,907,3695,4602
222,2011-08-10,summer,2011,8,0,wednesday,1,clear,28.0,29.2,42.4,13.4,884,3896,4780
223,2011-08-11,summer,2011,8,0,thursday,1,clear,25.7,27.0,42.4,11.0,812,3980,4792
224,2011-08-12,summer,2011,8,0,friday,1,clear,25.3,27.2,41.5,8.4,1051,3854,4905
225,2011-08-13,summer,2011,8,0,saturday,0,cloudy,24.2,26.6,73.0,14.2,1504,2646,4150
226,2011-08-14,summer,2011,8,0,sunday,0,cloudy,23.8,25.2,81.8,14.9,1338,2482,3820
227,2011-08-15,summer,2011,8,0,monday,1,clear,23.3,24.7,71.2,14.0,775,3563,4338
228,2011-08-16,summer,2011,8,0,tuesday,1,clear,24.9,26.6,57.8,15.8,721,4004,4725
229,2011-08-17,summer,2011,8,0,wednesday,1,clear,26.0,28.0,57.5,9.6,668,4026,4694
230,2011-08-18,summer,2011,8,0,thursday,1,clear,25.4,27.7,65.5,15.6,639,3166,3805
231,2011-08-19,summer,2011,8,0,friday,1,cloudy,24.2,25.8,72.3,9.3,797,3356,4153
232,2011-08-20,summer,2011,8,0,saturday,0,clear,24.8,26.8,67.4,7.0,1914,3277,5191
233,2011-08-21,summer,2011,8,0,sunday,0,clear,25.4,28.6,77.0,16.7,1249,2624,3873
234,2011-08-22,summer,2011,8,0,monday,1,clear,24.5,26.1,47.0,18.5,833,3925,4758
235,2011-08-23,summer,2011,8,0,tuesday,1,clear,22.1,24.0,45.5,9.8,1281,4614,5895
236,2011-08-24,summer,2011,8,0,wednesday,1,clear,23.6,25.6,60.5,17.0,949,4181,5130
237,2011-08-25,summer,2011,8,0,thursday,1,cloudy,24.2,26.6,77.2,14.1,435,3107,3542
238,2011-08-26,summer,2011,8,0,friday,1,clear,24.9,27.5,76.1,5.6,768,3893,4661
239,2011-08-27,summer,2011,8,0,saturday,0,cloudy,24.0,25.9,85.0,25.2,226,889,1115
240,2011-08-28,summer,2011,8,0,sunday,0,clear,25.2,26.8,56.2,20.4,1415,2919,4334
241,2011-08-29,summer,2011,8,0,monday,1,clear,21.9,24.1,55.5,10.7,729,3905,4634
242,2011-08-30,summer,2011,8,0,tuesday,1,clear,22.0,23.3,54.8,8.4,775,4429,5204
243,2011-08-31,summer,2011,8,0,wednesday,1,clear,22.9,24.3,59.8,5.6,688,4370,5058
