instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
244,2011-09-01,summer,2011,9,0,thursday,1,clear,22.8,24.6,63.9,9.5,783,4332,5115
245,2011-09-02,summer,2011,9,0,friday,1,cloudy,22.2,23.9,72.7,9.4,875,3852,4727
246,2011-09-03,summer,2011,9,0,saturday,0,clear,23.5,25.8,71.7,12.4,1935,2549,4484
247,2011-09-04,summer,2011,9,0,sunday,0,clear,25.3,27.9,74.2,13.8,2521,2419,4940
248,2011-09-05,summer,2011,9,1,monday,0,cloudy,23.6,25.3,79.0,14.3,1236,2115,3351
249,2011-09-06,summer,2011,9,0,tuesday,1,light-rs,17.4,18.0,88.7,23.0,204,2506,2710
250,2011-09-07,summer,2011,9,0,wednesday,1,light-rs,20.2,19.9,91.7,6.5,118,1878,1996
251,2011-09-08,summer,2011,9,0,thursday,1,light-rs,21.8,20.7,94.0,12.9,153,1689,1842
252,2011-09-09,summer,2011,9,0,friday,1,cloudy,22.6,22.2,89.8,8.3,417,3127,3544
253,2011-09-10,summer,2011,9,0,saturday,0,clear,23.0,24.1,75.4,10.3,1750,3595,5345
254,2011-09-11,summer,2011,9,0,sunday,0,clear,22.7,24.2,71.4,7.7,1633,3413,5046
255,2011-09-12,summer,2011,9,0,monday,1,clear,22.3,23.7,69.2,6.0,690,4023,4713
256,2011-09-13,summer,2011,9,0,tuesday,1,clear,22.6,23.8,71.2,9.5,701,4062,4763
257,2011-09-14,summer,2011,9,0,wednesday,1,clear,23.6,25.4,69.7,11.2,647,4138,4785
258,2011-09-15,summer,2011,9,0,thursday,1,cloudy,19.1,20.5,70.9,18.2,428,3231,3659
259,2011-09-16,summer,2011,9,0,friday,1,cloudy,14.1,14.5,59.0,11.0,742,4018,4760
260,2011-09-17,summer,2011,9,0,saturday,0,cloudy,15.1,15.6,71.8,12.7,1434,3077,4511
261,2011-09-18,summer,2011,9,0,sunday,0,clear,15.9,16.4,69.5,12.0,1353,2921,4274
262,2011-09-19,summer,2011,9,0,monday,1,cloudy,17.8,19.0,69.0,10.2,691,3848,4539
263,2011-09-20,summer,2011,9,0,tuesday,1,cloudy,18.4,19.1,88.1,9.0,438,3203,3641
264,2011-09-21,summer,2011,9,0,wednesday,1,cloudy,20.0,20.3,90.0,6.5,539,3813,4352
265,2011-09-22,summer,2011,9,0,thursday,1,cloudy,21.5,20.6,90.2,8.6,555,4240,4795
266,2011-09-23,fall,2011,9,0,friday,1,cloudy,20.6,18.5,97.2,5.3,258,2137,2395
267,2011-09-24,fall,2011,9,0,saturday,0,cloudy,20.5,21.3,86.2,5.3,1776,3647,5423
268,2011-09-25,fall,2011,9,0,sunday,0,cloudy,21.8,21.8,84.5,3.4,1544,3466,5010
269,2011-09-26,fall,2011,9,0,monday,1,cloudy,22.5,22.9,84.8,7.4,684,3946,4630
270,2011-09-27,fall,2011,9,0,tuesday,1,cloudy,21.9,21.9,88.5,7.9,477,3643,4120
271,2011-09-28,fall,2011,9,0,wednesday,1,cloudy,21.8,22.0,84.9,10.0,480,3427,3907
272,2011-09-29,fall,2011,9,0,thursday,1,clear,21.0,21.9,69.9,11.6,653,4186,4839
273,2011-09-30,fall,2011,9,0,friday,1,clear,18.5,20.0,64.8,13.8,830,4372,5202
274,2011-10-01,fall,2011,10,0,saturday,0,cloudy,11.3,11.2,75.4,19.6,480,1949,2429
275,2011-10-02,fall,2011,10,0,sunday,0,cloudy,8.8,6.8,79.2,14.9,616,2302,2918
276,2011-10-03,fall,2011,10,0,monday,1,cloudy,10.1,9.9,76.1,5.6,330,3240,3570
277,2011-10-04,fall,2011,10,0,tuesday,1,clear,14.8,15.2,71.0,13.8,486,3970,4456
278,2011-10-05,fall,2011,10,0,wednesday,1,clear,17.3,18.8,64.8,11.9,559,4267,4826
279,2011-10-06,fall,2011,10,0,thursday,1,clear,15.2,15.7,62.1,9.0,639,4126,4765
280,2011-10-07,fall,2011,10,0,friday,1,clear,16.0,17.3,68.4,1.5,949,4036,4985
281,2011-10-08,fall,2011,10,0,saturday,0,clear,16.5,17.9,70.1,3.0,2235,3174,5409
282,2011-10-09,fall,2011,10,0,sunday,0,clear,17.4,18.6,72.8,4.3,2397,3114,5511
283,2011-10-10,fall,2011,10,1,monday,0,clear,18.8,19.8,73.4,2.8,1514,3603,5117
284,2011-10-11,fall,2011,10,0,tuesday,1,cloudy,18.6,20.0,80.9,9.6,667,3896,4563
285,2011-10-12,fall,2011,10,0,wednesday,1,light-rs,17.5,18.2,90.6,16.6,217,2199,2416
286,2011-10-13,fall,2011,10,0,thursday,1,cloudy,19.7,20.4,89.7,9.5,290,2623,2913
287,2011-10-14,fall,2011,10,0,friday,1,cloudy,17.9,19.0,71.6,15.0,529,3115,3644
288,2011-10-15,fall,2011,10,0,saturday,0,clear,15.8,16.9,48.3,17.3,1899,3318,5217
289,2011-10-16,fall,2011,10,0,sunday,0,clear,16.0,17.2,48.7,18.9,1748,3293,5041
290,2011-10-17,fall,2011,10,0,monday,1,clear,17.1,17.7,58.0,11.8,713,3857,4570
291,2011-10-18,fall,2011,10,0,tuesday,1,cloudy,17.0,18.5,70.2,7.4,637,4111,4748
292,2011-10-19,fall,2011,10,0,wednesday,1,light-rs,17.5,17.9,89.5,16.3,254,2170,2424
293,2011-10-20,fall,2011,10,0,thursday,1,clear,14.4,14.8,63.6,28.3,471,3724,4195
294,2011-10-21,fall,2011,10,0,friday,1,clear,12.1,12.0,57.4,14.8,676,3628,4304
295,2011-10-22,fall,2011,10,0,saturday,0,clear,11.9,12.1,62.9,6.2,1499,2809,4308
296,2011-10-23,fall,2011,10,0,sunday,0,clear,11.8,11.9,74.1,6.7,1619,2762,4381
297,2011-10-24,fall,2011,10,0,monday,1,clear,13.8,14.2,77.2,8.0,699,3488,4187
298,2011-10-25,fall,2011,10,0,tuesday,1,clear,14.2,14.6,62.3,11.2,695,3992,4687
299,2011-10-26,fall,2011,10,0,wednesday,1,cloudy,14.8,15.2,72.0,10.0,404,3490,3894
300,2011-10-27,fall,2011,10,0,thursday,1,cloudy,14.1,14.2,81.3,13.3,240,2419,2659
301,2011-10-28,fall,2011,10,0,friday,1,cloudy,7.5,5.0,58.6,15.4,456,3291,3747
302,2011-10-29,fall,2011,10,0,saturday,0,light-rs,3.9,-1.0,88.2,23.5,57,570,627
303,2011-10-30,fall,2011,10,0,sunday,0,clear,7.0,5.2,62.4,11.8,885,2446,3331
304,2011-10-31,fall,2011,10,0,monday,1,clear,8.0,7.5,70.3,7.1,362,3307,3669
305,2011-11-01,fall,2011,11,0,tuesday,1,clear,10.8,10.2,68.4,9.1,410,3658,4068
306,2011-11-02,fall,2011,11,0,wednesday,1,clear,9.7,9.7,71.9,5.5,370,3816,4186
307,2011-11-03,fall,2011,11,0,thursday,1,clear,11.2,10.8,70.2,9.2,318,3656,3974
308,2011-11-04,fall,2011,11,0,friday,1,cloudy,11.0,10.6,62.3,18.2,470,3576,4046
309,2011-11-05,fall,2011,11,0,saturday,0,clear,7.4,5.4,51.9,12.7,1156,2770,3926
310,2011-11-06,fall,2011,11,0,sunday,0,clear,8.4,7.9,73.5,6.2,952,2697,3649
311,2011-11-07,fall,2011,11,0,monday,1,clear,,,75.9,3.8,373,3662,4035
312,2011-11-08,fall,2011,11,0,tuesday,1,clear,11.2,11.2,72.2,4.6,376,3829,4205
313,2011-11-09,fall,2011,11,0,wednesday,1,clear,10.8,11.0,75.8,4.2,305,3804,4109
314,2011-11-10,fall,2011,11,0,thursday,1,cloudy,9.9,8.7,81.3,12.7,190,2743,2933
315,2011-11-11,fall,2011,11,1,friday,0,clear,7.2,4.2,44.6,21.1,440,2928,3368
316,2011-11-12,fall,2011,11,0,saturday,0,clear,8.8,7.6,55.3,14.2,1275,2792,4067
317,2011-11-13,fall,2011,11,0,sunday,0,clear,12.7,12.4,45.8,18.9,1004,2713,3717
318,2011-11-14,fall,2011,11,0,monday,1,clear,16.9,18.6,58.7,20.5,595,3891,4486
319,2011-11-15,fall,2011,11,0,tuesday,1,cloudy,16.9,17.5,68.9,13.4,449,3746,4195
320,2011-11-16,fall,2011,11,0,wednesday,1,light-rs,13.5,13.8,93.0,9.2,145,1672,1817
321,2011-11-17,fall,2011,11,0,thursday,1,cloudy,8.1,5.3,57.6,20.5,139,2914,3053
322,2011-11-18,fall,2011,11,0,friday,1,clear,4.9,2.0,41.0,11.3,245,3147,3392
323,2011-11-19,fall,2011,11,0,saturday,0,clear,7.5,5.4,50.2,15.0,943,2720,3663
324,2011-11-20,fall,2011,11,0,sunday,0,cloudy,13.8,14.2,68.5,12.5,787,2733,3520
325,2011-11-21,fall,2011,11,0,monday,1,light-rs,13.0,13.4,91.0,9.2,220,2545,2765
326,2011-11-22,fall,2011,11,0,tuesday,1,light-rs,11.6,11.8,96.2,8.0,69,1538,1607
327,2011-11-23,fall,2011,11,0,wednesday,1,cloudy,12.7,12.4,75.8,22.5,112,2454,2566
328,2011-11-24,fall,2011,11,1,thursday,0,clear,9.5,8.6,54.9,11.2,560,935,1495
329,2011-11-25,fall,2011,11,0,friday,1,clear,9.6,9.1,64.4,6.6,1095,1697,2792
330,2011-11-26,fall,2011,11,0,saturday,0,clear,9.7,9.4,68.2,4.6,1249,1819,3068
331,2011-11-27,fall,2011,11,0,sunday,0,clear,13.6,14.1,69.8,14.0,810,2261,3071
332,2011-11-28,fall,2011,11,0,monday,1,clear,15.7,16.3,74.3,9.5,253,3614,3867
333,2011-11-29,fall,2011,11,0,tuesday,1,cloudy,13.5,13.8,83.1,17.3,96,2818,2914
334,2011-11-30,fall,2011,11,0,wednesday,1,clear,7.3,4.5,61.3,18.2,188,3425,3613
335,2011-12-01,fall,2011,12,0,thursday,1,clear,6.7,4.2,52.5,14.8,182,3545,3727
336,2011-12-02,fall,2011,12,0,friday,1,clear,6.8,5.9,62.6,6.8,268,3672,3940
337,2011-12-03,fall,2011,12,0,saturday,0,clear,6.1,4.5,61.3,6.4,706,2908,3614
338,2011-12-04,fall,2011,12,0,sunday,0,clear,7.5,7.0,77.6,5.6,634,2851,3485
339,2011-12-05,fall,2011,12,0,monday,1,cloudy,10.1,10.0,82.7,4.2,233,3578,3811
340,2011-12-06,fall,2011,12,0,tuesday,1,light-rs,13.7,14.1,95.0,15.6,126,2468,2594
341,2011-12-07,fall,2011,12,0,wednesday,1,light-rs,11.3,10.4,97.0,17.8,50,655,705
342,2011-12-08,fall,2011,12,0,thursday,1,clear,4.5,1.0,58.0,16.1,150,3172,3322
343,2011-12-09,fall,2011,12,0,friday,1,clear,5.7,5.0,69.6,5.5,261,3359,3620
344,2011-12-10,fall,2011,12,0,saturday,0,clear,4.9,1.6,50.7,15.6,502,2688,3190
345,2011-12-11,fall,2011,12,0,sunday,0,clear,2.4,0.7,49.0,4.5,377,2366,2743
346,2011-12-12,fall,2011,12,0,monday,1,clear,3.2,1.8,67.1,4.3,143,3167,3310
347,2011-12-13,fall,2011,12,0,tuesday,1,clear,5.3,3.9,59.0,9.4,155,3368,3523
348,2011-12-14,fall,2011,12,0,wednesday,1,cloudy,6.9,6.3,66.4,4.1,178,3562,3740
349,2011-12-15,fall,2011,12,0,thursday,1,cloudy,11.9,11.2,63.4,18.0,181,3528,3709
350,2011-12-16,fall,2011,12,0,friday,1,cloudy,9.6,7.7,50.0,17.5,178,3399,3577
351,2011-12-17,fall,2011,12,0,saturday,0,cloudy,4.1,0.5,56.1,16.3,275,2464,2739
352,2011-12-18,fall,2011,12,0,sunday,0,clear,3.2,0.2,58.6,11.4,220,2211,2431
353,2011-12-19,fall,2011,12,0,monday,1,clear,5.0,2.5,63.7,11.6,260,3143,3403
354,2011-12-20,fall,2011,12,0,tuesday,1,cloudy,10.1,10.2,59.5,4.1,216,3534,3750
355,2011-12-21,winter,2011,12,0,wednesday,1,cloudy,12.1,12.2,85.8,14.8,107,2553,2660
356,2011-12-22,winter,2011,12,0,thursday,1,cloudy,11.9,12.1,75.8,3.2,227,2841,3068
357,2011-12-23,winter,2011,12,0,friday,1,clear,9.5,8.9,68.6,18.4,163,2046,2209
358,2011-12-24,winter,2011,12,0,saturday,0,clear,6.2,3.7,54.2,12.8,155,856,1011
359,2011-12-25,winter,2011,12,0,sunday,0,clear,4.9,2.5,68.1,10.4,303,451,754
360,2011-12-26,winter,2011,12,1,monday,0,clear,7.1,4.8,50.7,16.0,430,887,1317
361,2011-12-27,winter,2011,12,0,tuesday,1,cloudy,7.3,5.6,76.2,12.6,103,1059,1162
362,2011-12-28,winter,2011,12,0,wednesday,1,clear,6.1,2.5,50.4,19.7,255,2047,2302
363,2011-12-29,winter,2011,12,0,thursday,1,clear,3.7,1.4,57.4,8.0,254,2169,2423
364,2011-12-30,winter,2011,12,0,friday,1,clear,6.6,5.0,63.7,9.0,491,2508,2999
365,2011-12-31,winter,2011,12,0,saturday,0,clear,11.3,11.3,61.6,14.8,665,1820,2485
366,2012-01-01,winter,2012,1,0,sunday,0,clear,9.4,8.8,69.2,12.9,686,1608,2294
367,2012-01-02,winter,2012,1,1,monday,0,clear,4.8,0.7,38.1,22.1,244,1707,1951
368,2012-01-03,winter,2012,1,0,tuesday,1,clear,-1.0,-7.7,44.1,24.5,89,2147,2236
369,2012-01-04,winter,2012,1,0,wednesday,1,cloudy,-2.9,-8.1,41.5,12.4,95,2273,2368
370,2012-01-05,winter,2012,1,0,thursday,1,clear,4.5,2.4,52.4,8.7,140,3132,3272
371,2012-01-06,winter,2012,1,0,friday,1,clear,7.7,6.5,54.2,11.2,307,3791,4098
372,2012-01-07,winter,2012,1,0,saturday,0,clear,10.5,9.8,53.2,11.7,1070,3451,4521
373,2012-01-08,winter,2012,1,0,sunday,0,clear,7.9,6.5,46.5,12.8,599,2826,3425
374,2012-01-09,winter,2012,1,0,monday,1,cloudy,2.5,0.3,70.2,6.6,106,2270,2376
375,2012-01-10,winter,2012,1,0,tuesday,1,clear,6.5,5.0,64.7,12.6,173,3425,3598
376,2012-01-11,winter,2012,1,0,wednesday,1,cloudy,4.9,2.7,84.8,8.8,92,2085,2177
377,2012-01-12,winter,2012,1,0,thursday,1,cloudy,10.0,9.2,80.3,12.1,269,3828,4097
378,2012-01-13,winter,2012,1,0,friday,1,clear,4.9,0.5,50.7,25.3,174,3040,3214
379,2012-01-14,winter,2012,1,0,saturday,0,clear,0.5,-3.9,45.8,12.5,333,2160,2493
380,2012-01-15,winter,2012,1,0,sunday,0,clear,-0.2,-5.3,41.9,16.8,284,2027,2311
381,2012-01-16,winter,2012,1,1,monday,0,clear,0.9,-3.4,52.2,15.5,217,2081,2298
382,2012-01-17,winter,2012,1,0,tuesday,1,cloudy,9.5,8.0,71.6,23.4,127,2808,2935
383,2012-01-18,winter,2012,1,0,wednesday,1,clear,6.3,2.2,44.3,27.8,109,3267,3376
384,2012-01-19,winter,2012,1,0,thursday,1,clear,0.9,-3.5,49.8,14.8,130,3162,3292
385,2012-01-20,winter,2012,1,0,friday,1,cloudy,2.2,-1.4,45.0,13.6,115,3048,3163
386,2012-01-21,winter,2012,1,0,saturday,0,cloudy,0.1,-4.5,83.1,14.9,67,1234,1301
387,2012-01-22,winter,2012,1,0,sunday,0,cloudy,-0.4,-5.3,79.6,13.4,196,1781,1977
388,2012-01-23,winter,2012,1,0,monday,1,cloudy,2.3,0.0,91.1,7.4,145,2287,2432
389,2012-01-24,winter,2012,1,0,tuesday,1,clear,8.1,7.0,83.6,8.3,439,3900,4339
390,2012-01-25,winter,2012,1,0,wednesday,1,clear,5.8,3.5,64.4,10.8,467,3803,4270
391,2012-01-26,winter,2012,1,0,thursday,1,cloudy,8.1,7.5,77.0,4.9,244,3831,4075
392,2012-01-27,winter,2012,1,0,friday,1,cloudy,12.0,11.4,74.1,23.0,269,3187,3456
393,2012-01-28,winter,2012,1,0,saturday,0,clear,6.8,5.5,54.3,14.1,775,3248,4023
394,2012-01-29,winter,2012,1,0,sunday,0,clear,5.3,2.0,31.1,16.1,558,2685,3243
395,2012-01-30,winter,2012,1,0,monday,1,clear,4.7,1.3,40.1,14.5,126,3498,3624
396,2012-01-31,winter,2012,1,0,tuesday,1,clear,10.3,9.2,41.7,17.5,324,4185,4509
397,2012-02-01,winter,2012,2,0,wednesday,1,clear,14.1,14.8,50.8,12.7,304,4275,4579
398,2012-02-02,winter,2012,2,0,thursday,1,cloudy,10.8,10.3,67.3,12.5,190,3571,3761
399,2012-02-03,winter,2012,2,0,friday,1,clear,6.7,4.4,52.7,12.0,310,3841,4151
400,2012-02-04,winter,2012,2,0,saturday,0,cloudy,4.4,2.0,78.0,8.2,384,2448,2832
401,2012-02-05,winter,2012,2,0,sunday,0,cloudy,4.5,1.5,68.8,11.8,318,2629,2947
402,2012-02-06,winter,2012,2,0,monday,1,clear,5.3,3.6,62.2,10.3,206,3578,3784
403,2012-02-07,winter,2012,2,0,tuesday,1,clear,8.6,7.8,49.6,9.9,199,4176,4375
404,2012-02-08,winter,2012,2,0,wednesday,1,cloudy,4.1,1.6,72.3,9.0,109,2693,2802
405,2012-02-09,winter,2012,2,0,thursday,1,clear,4.5,1.3,56.2,13.0,163,3667,3830
406,2012-02-10,winter,2012,2,0,friday,1,cloudy,5.2,3.4,54.0,7.8,227,3604,3831
407,2012-02-11,winter,2012,2,0,saturday,0,light-rs,2.5,-2.1,73.1,19.4,192,1977,2169
408,2012-02-12,winter,2012,2,0,sunday,0,clear,-2.0,-9.3,46.5,27.4,73,1456,1529
409,2012-02-13,winter,2012,2,0,monday,1,clear,2.5,-1.0,41.1,11.2,94,3328,3422
410,2012-02-14,winter,2012,2,0,tuesday,1,cloudy,7.0,6.0,50.9,9.5,135,3787,3922
411,2012-02-15,winter,2012,2,0,wednesday,1,clear,8.4,7.2,53.1,12.2,141,4028,4169
412,2012-02-16,winter,2012,2,0,thursday,1,cloudy,6.9,5.8,75.3,6.1,74,2931,3005
413,2012-02-17,winter,2012,2,0,friday,1,clear,8.1,7.2,63.5,13.8,349,3805,4154
414,2012-02-18,winter,2012,2,0,saturday,0,clear,8.3,7.5,53.5,12.8,1435,2883,4318
415,2012-02-19,winter,2012,2,0,sunday,0,cloudy,5.2,1.5,51.6,17.0,618,2071,2689
416,2012-02-20,winter,2012,2,1,monday,0,clear,5.2,2.0,50.8,15.3,502,2627,3129
417,2012-02-21,winter,2012,2,0,tuesday,1,clear,5.5,3.5,59.4,13.8,163,3614,3777
418,2012-02-22,winter,2012,2,0,wednesday,1,clear,10.6,9.9,56.8,15.7,394,4379,4773
419,2012-02-23,winter,2012,2,0,thursday,1,clear,13.3,13.3,55.5,12.8,516,4546,5062
420,2012-02-24,winter,2012,2,0,friday,1,cloudy,11.2,11.1,73.8,15.9,246,3241,3487
421,2012-02-25,winter,2012,2,0,saturday,0,clear,5.7,0.9,39.6,28.3,317,2415,2732
422,2012-02-26,winter,2012,2,0,sunday,0,clear,5.1,1.7,41.0,13.8,515,2874,3389
423,2012-02-27,winter,2012,2,0,monday,1,clear,9.2,7.6,49.1,18.0,253,4069,4322
424,2012-02-28,winter,2012,2,0,tuesday,1,clear,8.9,7.3,39.6,13.0,229,4134,4363
425,2012-02-29,winter,2012,2,0,wednesday,1,cloudy,8.2,7.0,80.5,12.0,65,1769,1834
426,2012-03-01,winter,2012,3,0,thursday,1,clear,14.8,15.4,61.5,15.2,325,4665,4990
427,2012-03-02,winter,2012,3,0,friday,1,cloudy,8.6,7.7,65.7,9.7,246,2948,3194
428,2012-03-03,winter,2012,3,0,saturday,0,cloudy,11.5,11.3,62.1,10.8,956,3110,4066
429,2012-03-04,winter,2012,3,0,sunday,0,clear,7.3,4.0,40.3,22.4,710,2713,3423
430,2012-03-05,winter,2012,3,0,monday,1,clear,3.4,-0.1,50.6,15.3,203,3130,3333
431,2012-03-06,winter,2012,3,0,tuesday,1,clear,4.1,0.8,45.7,13.5,221,3735,3956
432,2012-03-07,winter,2012,3,0,wednesday,1,clear,11.0,9.4,51.3,23.2,432,4484,4916
433,2012-03-08,winter,2012,3,0,thursday,1,clear,16.8,18.6,56.8,29.6,486,4896,5382
434,2012-03-09,winter,2012,3,0,friday,1,cloudy,11.3,10.2,40.7,27.8,447,4122,4569
435,2012-03-10,winter,2012,3,0,saturday,0,clear,5.5,2.3,35.0,15.1,968,3150,4118
436,2012-03-11,winter,2012,3,0,sunday,0,clear,9.0,7.7,47.7,14.9,1658,3253,4911
437,2012-03-12,winter,2012,3,0,monday,1,clear,13.9,14.3,48.9,13.9,838,4460,5298
438,2012-03-13,winter,2012,3,0,tuesday,1,clear,18.6,19.8,61.8,15.9,762,5085,5847
439,2012-03-14,winter,2012,3,0,wednesday,1,clear,18.9,20.2,50.7,7.7,997,5315,6312
440,2012-03-15,winter,2012,3,0,thursday,1,clear,18.2,19.2,58.0,10.0,1005,5187,6192
441,2012-03-16,winter,2012,3,0,friday,1,cloudy,12.5,12.8,84.2,7.6,548,3830,4378
442,2012-03-17,winter,2012,3,0,saturday,0,cloudy,16.2,17.3,75.6,7.4,3155,4681,7836
443,2012-03-18,winter,2012,3,0,sunday,0,cloudy,14.2,14.6,81.0,8.5,2207,3685,5892
444,2012-03-19,winter,2012,3,0,monday,1,clear,17.6,19.2,72.9,10.9,982,5171,6153
445,2012-03-20,winter,2012,3,0,tuesday,1,clear,18.4,19.5,80.8,8.1,1051,5042,6093
446,2012-03-21,spring,2012,3,0,wednesday,1,cloudy,17.0,17.9,82.1,6.0,1122,5108,6230
447,2012-03-22,spring,2012,3,0,thursday,1,clear,18.0,19.1,83.1,7.9,1334,5537,6871
448,2012-03-23,spring,2012,3,0,friday,1,cloudy,20.3,21.6,69.4,7.8,2469,5893,8362
449,2012-03-24,spring,2012,3,0,saturday,0,cloudy,15.6,16.1,88.5,12.9,1033,2339,3372
450,2012-03-25,spring,2012,3,0,sunday,0,cloudy,12.6,12.9,88.1,14.8,1532,3464,4996
451,2012-03-26,spring,2012,3,0,monday,1,clear,13.0,13.0,47.8,25.9,795,4763,5558
452,2012-03-27,spring,2012,3,0,tuesday,1,clear,7.2,4.8,29.0,12.5,531,4571,5102
453,2012-03-28,spring,2012,3,0,wednesday,1,clear,14.8,15.1,48.1,19.5,674,5024,5698
454,2012-03-29,spring,2012,3,0,thursday,1,clear,15.2,15.8,43.9,21.4,834,5299,6133
455,2012-03-30,spring,2012,3,0,friday,1,cloudy,9.4,8.8,58.1,9.3,796,4663,5459
456,2012-03-31,spring,2012,3,0,saturday,0,cloudy,11.9,11.8,73.8,16.8,2301,3934,6235
457,2012-04-01,spring,2012,4,0,sunday,0,cloudy,12.0,11.5,67.6,11.5,2347,3694,6041
458,2012-04-02,spring,2012,4,0,monday,1,clear,12.4,12.2,50.4,20.9,1208,4728,5936
459,2012-04-03,spring,2012,4,0,tuesday,1,clear,13.9,14.5,39.7,6.7,1348,5424,6772
460,2012-04-04,spring,2012,4,0,wednesday,1,clear,17.5,19.2,47.0,12.1,1058,5378,6436
461,2012-04-05,spring,2012,4,0,thursday,1,clear,12.4,12.5,37.4,14.7,1192,5265,6457
462,2012-04-06,spring,2012,4,0,friday,1,clear,11.0,9.8,37.7,20.1,1807,4653,6460
463,2012-04-07,spring,2012,4,0,saturday,0,clear,12.6,12.1,25.4,18.4,3252,3605,6857
464,2012-04-08,spring,2012,4,0,sunday,0,clear,15.5,16.5,27.6,15.6,2230,2939,5169
465,2012-04-09,spring,2012,4,0,monday,1,clear,15.0,15.5,31.8,24.0,905,4680,5585
466,2012-04-10,spring,2012,4,0,tuesday,1,clear,13.0,12.8,43.5,16.7,819,5099,5918
467,2012-04-11,spring,2012,4,0,wednesday,1,clear,8.4,6.3,47.0,19.8,482,4380,4862
468,2012-04-12,spring,2012,4,0,thursday,1,clear,10.7,9.6,46.6,19.5,663,4746,5409
469,2012-04-13,spring,2012,4,0,friday,1,clear,12.8,12.5,40.8,10.4,1252,5146,6398
470,2012-04-14,spring,2012,4,0,saturday,0,clear,15.3,16.2,50.3,12.8,2795,4665,7460
471,2012-04-15,spring,2012,4,0,sunday,0,clear,20.5,21.9,50.8,15.1,2846,4286,7132
472,2012-04-16,spring,2012,4,1,monday,0,clear,23.2,24.6,56.2,19.1,1198,5172,6370
473,2012-04-17,spring,2012,4,0,tuesday,1,clear,20.6,23.5,39.0,18.3,989,5702,6691
474,2012-04-18,spring,2012,4,0,wednesday,1,cloudy,13.8,14.2,56.9,11.3,347,4020,4367
475,2012-04-19,spring,2012,4,0,thursday,1,clear,15.4,16.5,61.3,4.4,846,5719,6565
476,2012-04-20,spring,2012,4,0,friday,1,clear,16.8,18.0,69.5,10.0,1340,5950,7290
477,2012-04-21,spring,2012,4,0,saturday,0,clear,18.8,19.8,68.3,19.0,2541,4083,6624
478,2012-04-22,spring,2012,4,0,sunday,0,light-rs,10.6,9.7,83.5,23.1,120,907,1027
479,2012-04-23,spring,2012,4,0,monday,1,cloudy,7.1,3.9,76.7,20.3,195,3019,3214
480,2012-04-24,spring,2012,4,0,tuesday,1,clear,11.4,10.7,45.4,16.7,518,5115,5633
481,2012-04-25,spring,2012,4,0,wednesday,1,clear,14.4,15.0,42.8,8.0,655,5541,6196
482,2012-04-26,spring,2012,4,0,thursday,1,cloudy,15.4,15.9,75.7,11.8,475,4551,5026
483,2012-04-27,spring,2012,4,0,friday,1,clear,13.5,13.9,40.1,23.3,1014,5219,6233
484,2012-04-28,spring,2012,4,0,saturday,0,cloudy,9.7,8.9,49.0,8.7,1120,3100,4220
485,2012-04-29,spring,2012,4,0,sunday,0,clear,13.5,13.7,58.7,7.8,2229,4075,6304
486,2012-04-30,spring,2012,4,0,monday,1,cloudy,13.8,14.2,57.0,11.5,665,4907,5572
487,2012-05-01,spring,2012,5,0,tuesday,1,cloudy,20.8,22.1,66.0,10.5,653,5087,5740
